n,runtime,iterations
10,0.0013829867045084636,110.66666666666667
50,0.006688276926676433,118.0
100,0.013388236363728842,122.0
200,0.046995957692464195,213.33333333333334
500,0.2584239641825358,453.3333333333333
1000,0.7966434160868326,696.6666666666666
