run_id,n,iterations,execution_time,success,initial_conflicts,final_conflicts,conflict_delta,avg_conflicts_per_iteration,time_per_iteration
1,1000,469,0.017633,1,0,0,0,0.000000,0.000038
2,1000,311,0.015896,1,0,0,0,0.000000,0.000051
3,1000,646,0.017497,1,0,0,0,0.000000,0.000027
4,1000,421,0.016850,1,0,0,0,0.000000,0.000040
5,1000,435,0.017092,1,0,0,0,0.000000,0.000039
6,1000,931,0.018891,1,0,0,0,0.000000,0.000020
7,1000,334,0.017629,1,0,0,0,0.000000,0.000053
8,1000,474,0.017000,1,0,0,0,0.000000,0.000036
9,1000,467,0.017127,1,0,0,0,0.000000,0.000037
10,1000,423,0.016768,1,0,0,0,0.000000,0.000040
