run_id,n,iterations,execution_time,success,initial_conflicts,final_conflicts,conflict_delta,avg_conflicts_per_iteration,time_per_iteration
1,100,226,0.001956,1,0,0,0,0.000000,0.000009
2,100,63,0.001460,1,0,0,0,0.000000,0.000023
3,100,75,0.001410,1,0,0,0,0.000000,0.000019
4,100,226,0.001873,1,0,0,0,0.000000,0.000008
5,100,116,0.001509,1,0,0,0,0.000000,0.000013
6,100,189,0.002016,1,0,0,0,0.000000,0.000011
7,100,224,0.001858,1,0,0,0,0.000000,0.000008
8,100,60,0.001404,1,0,0,0,0.000000,0.000023
9,100,257,0.002111,1,0,0,0,0.000000,0.000008
10,100,134,0.001670,1,0,0,0,0.000000,0.000012
