run_id,n,iterations,execution_time,success,initial_conflicts,final_conflicts,conflict_delta,avg_conflicts_per_iteration,time_per_iteration
1,10000,2898,0.174386,1,0,0,0,0.000000,0.000060
2,10000,2672,0.178938,1,0,0,0,0.000000,0.000067
3,10000,2825,0.173795,1,0,0,0,0.000000,0.000062
4,10000,2853,0.175331,1,0,0,0,0.000000,0.000061
5,10000,2841,0.173518,1,0,0,0,0.000000,0.000061
